full_name;stargazers_count;forks;created_at;clone_url;description
CyC2018/CS-Notes;102838;33532;2018-02-13T14:56:24Z;https://github.com/CyC2018/CS-Notes.git;:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++
Snailclimb/JavaGuide;80826;27847;2018-05-07T13:27:00Z;https://github.com/Snailclimb/JavaGuide.git;「Java学习+面试指南」一份涵盖大部分Java程序员所需要掌握的核心知识。
iluwatar/java-design-patterns;58105;18647;2014-08-09T16:45:18Z;https://github.com/iluwatar/java-design-patterns.git;Design patterns implemented in Java
MisterBooo/LeetCodeAnimation;55117;10158;2018-12-06T08:01:22Z;https://github.com/MisterBooo/LeetCodeAnimation.git;Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
elastic/elasticsearch;49249;16898;2010-02-08T13:20:56Z;https://github.com/elastic/elasticsearch.git;Open Source, Distributed, RESTful Search Engine
spring-projects/spring-boot;48295;30207;2012-10-19T15:02:57Z;https://github.com/spring-projects/spring-boot.git;Spring Boot
kdn251/interviews;44922;9485;2017-02-14T18:19:25Z;https://github.com/kdn251/interviews.git;Everything you need to know to get the job.
doocs/advanced-java;44235;12328;2018-10-06T11:38:30Z;https://github.com/doocs/advanced-java.git;😮 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识，后端同学必看，前端同学也可学习
ReactiveX/RxJava;42828;7165;2013-01-08T20:11:48Z;https://github.com/ReactiveX/RxJava.git;RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.
google/guava;37594;8440;2014-05-29T16:23:17Z;https://github.com/google/guava.git;Google core libraries for Java
spring-projects/spring-framework;37510;25286;2010-12-08T04:04:45Z;https://github.com/spring-projects/spring-framework.git;Spring Framework
square/okhttp;37295;8067;2012-07-23T13:42:55Z;https://github.com/square/okhttp.git;Square’s meticulous HTTP client for Java and Kotlin.
square/retrofit;35789;6567;2010-09-06T21:39:43Z;https://github.com/square/retrofit.git;A type-safe HTTP client for Android and the JVM
macrozheng/mall;35399;15103;2018-04-04T01:11:44Z;https://github.com/macrozheng/mall.git;mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
apache/dubbo;32560;21217;2012-06-19T07:56:02Z;https://github.com/apache/dubbo.git;Apache Dubbo is a high-performance, java based, open source RPC framework.
PhilJay/MPAndroidChart;30868;7925;2014-04-25T14:29:47Z;https://github.com/PhilJay/MPAndroidChart.git;A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.
bumptech/glide;29203;5352;2013-07-08T22:52:33Z;https://github.com/bumptech/glide.git;An image loading and caching library for Android focused on smooth scrolling
airbnb/lottie-android;28935;4625;2016-10-06T22:42:42Z;https://github.com/airbnb/lottie-android.git;Render After Effects animations natively on Android and iOS, Web, and React Native
Blankj/AndroidUtilCode;27188;8973;2016-07-30T18:18:32Z;https://github.com/Blankj/AndroidUtilCode.git;:fire: Android developers should collect the following utils(updating).
TheAlgorithms/Java;25931;9308;2016-07-16T10:21:02Z;https://github.com/TheAlgorithms/Java.git;All Algorithms implemented in Java
proxyee-down-org/proxyee-down;25625;4693;2017-10-25T10:07:27Z;https://github.com/proxyee-down-org/proxyee-down.git;http下载工具，基于http代理，支持多连接分块下载
zxing/zxing;25489;8694;2011-10-12T14:07:27Z;https://github.com/zxing/zxing.git;ZXing (\Zebra Crossing\) barcode scanning library for Java, Android
JakeWharton/butterknife;25309;4729;2013-03-05T08:18:59Z;https://github.com/JakeWharton/butterknife.git;Bind Android views and callbacks to fields and methods.
crossoverJie/JCSprout;24789;6800;2017-12-17T09:06:50Z;https://github.com/crossoverJie/JCSprout.git;👨‍🎓 Java Core Sprout : basic, concurrent, algorithm 
netty/netty;23748;11346;2010-11-09T09:22:21Z;https://github.com/netty/netty.git;Netty project - an event-driven asynchronous network application framework
greenrobot/EventBus;22565;4480;2012-07-16T16:55:40Z;https://github.com/greenrobot/EventBus.git;Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.
skylot/jadx;22445;2647;2013-03-18T17:08:21Z;https://github.com/skylot/jadx.git;Dex to Java decompiler
ityouknow/spring-boot-examples;22406;10119;2016-11-05T05:32:33Z;https://github.com/ityouknow/spring-boot-examples.git;about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
alibaba/fastjson;21717;5788;2011-11-03T06:58:52Z;https://github.com/alibaba/fastjson.git;A fast JSON parser/generator for Java.  
alibaba/arthas;21467;4656;2018-08-29T17:15:57Z;https://github.com/alibaba/arthas.git;Alibaba Java Diagnostic Tool Arthas/Alibaba Java诊断利器Arthas
alibaba/druid;21368;7114;2011-11-03T05:12:51Z;https://github.com/alibaba/druid.git;阿里巴巴计算平台事业部出品，为监控而生的数据库连接池
eugenp/tutorials;21182;34008;2013-04-29T18:26:36Z;https://github.com/eugenp/tutorials.git;Just Announced - \Learn Spring Security OAuth\: 
NationalSecurityAgency/ghidra;21089;2813;2019-03-01T03:27:48Z;https://github.com/NationalSecurityAgency/ghidra.git;Ghidra is a software reverse engineering (SRE) framework
ctripcorp/apollo;21033;7627;2016-03-04T10:24:23Z;https://github.com/ctripcorp/apollo.git;Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。
scwang90/SmartRefreshLayout;20836;4341;2017-06-02T09:52:50Z;https://github.com/scwang90/SmartRefreshLayout.git;🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。
CymChad/BaseRecyclerViewAdapterHelper;20117;4253;2016-04-10T07:40:11Z;https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git;BRVAH:Powerful and flexible RecyclerAdapter
